pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200860	-0.03523	-0.01621	-0.04743	0.03274	-0.00108	0.01877	0.01978	-0.01847	-0.04148	-0.00074	-0.01221	0.01313	0.03825	-0.01480	-0.03084	0.01433	(Member $e0 come)
p200861	0.06608	0.04880	0.08821	-0.03369	0.02996	-0.03496	0.02418	-0.05658	-0.06778	-0.00864	-0.01075	-0.03018	-0.04542	-0.00056	-0.02914	0.02207	(Member $e0 take)
p200862	0.00369	0.00179	-0.00290	-0.00134	0.00825	-0.00740	0.00367	0.00909	0.00169	-0.00714	-0.00671	0.01080	-0.00397	-0.00494	-0.00051	-0.01266	(Member $x0 problem)
p200863	-0.00960	0.00399	-0.01431	-0.00445	0.00157	0.01087	0.01665	0.00457	0.03900	-0.01170	-0.00033	0.02835	0.01511	0.00781	-0.01636	-0.02098	(Member $x0 weather)
p200864	0.00174	-0.00376	0.00183	0.00067	0.00119	-0.00764	-0.00433	0.01880	0.01007	-0.01041	-0.00051	-0.00452	0.00477	-0.01527	0.00885	-0.00422	(Past (LocatedIn $x0 $x1))
p200899	0.11524	-0.01725	0.01866	0.18722	0.12323	-0.26707	0.12436	0.06601	0.13740	-0.08956	0.10127	-0.01271	-0.06016	-0.00583	-0.02055	0.25393	(And (Agent $e0 $x0) (Ongoing $e1) (Theme $e0 $e1))
p200900	-0.00401	0.06564	0.05384	-0.00147	-0.01017	-0.00605	0.01687	-0.07994	0.03626	0.05971	-0.04347	-0.02984	-0.05748	0.00810	0.01661	0.00900	(And (Before $e0 $e1) (Past $e0) (Past $e1))
p200924	0.17499	-0.15490	0.24973	0.03667	0.07420	-0.22258	0.06961	-0.02250	0.23451	-0.05649	0.13027	-0.02130	-0.06988	-0.02141	0.09770	0.14909	(And (Agent $e0 $x0) (Location $e0 $x1) (Ongoing $e0))
p200925	-0.02736	-0.03347	-0.02587	-0.00795	0.03172	0.08862	-0.00320	0.00006	-0.07896	-0.00017	0.23181	-0.04182	0.15631	-0.08715	-0.11203	-0.07573	(And (Location $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200926	-0.00441	0.01457	0.00261	0.02995	-0.04564	-0.09537	-0.01117	-0.02578	0.12383	0.03112	-0.01746	-0.01503	0.19104	0.13514	-0.14247	-0.00044	(And (Member $e0 have) (Past $e0) (Theme $e0 $x0))
p200935	-0.00401	0.06577	0.05374	-0.00139	-0.01016	-0.00606	0.01692	-0.07985	0.03622	0.05966	-0.04343	-0.02984	-0.05744	0.00804	0.01651	0.00894	(And (Before $e0 $e1) (Past $e0))
p200936	-0.00418	0.04777	-0.05125	-0.01711	0.06069	0.02350	0.00504	0.00611	-0.02802	-0.03036	0.01396	0.02091	0.00371	-0.01727	-0.04209	-0.01055	(And (Future $e0) (Patient $e0 $x0))
p200937	0.01488	0.06685	0.03162	-0.03770	0.06414	0.02098	-0.01374	-0.07879	-0.00963	-0.02051	-0.01959	-0.02794	-0.04298	-0.01591	-0.03562	-0.00925	(And (Instrument $e0 $x0) (Patient $e0 $x1))
p200955	0.02273	0.02823	-0.02038	-0.01875	0.01948	-0.00557	-0.00204	0.01494	-0.02180	-0.01699	0.01848	0.02355	0.01642	0.00197	-0.06646	-0.00249	(GroupOf $x0 thing)
p200956	0.00185	-0.00863	0.01795	-0.00472	-0.00718	-0.00491	0.04250	-0.01201	-0.03938	0.00310	-0.01036	-0.01743	0.01496	0.00731	-0.02032	-0.00757	(In $e0 $x0)
p200957	-0.00922	0.01748	-0.04427	-0.00418	0.03792	0.00083	-0.00708	0.00754	-0.04387	0.01841	0.01711	0.01332	0.02261	-0.01466	-0.05255	0.00499	(Manner $e0 quickly)
p200958	-0.01054	0.06115	0.07734	0.02000	-0.02185	-0.01801	-0.02846	-0.08193	0.01593	-0.01123	-0.02390	0.03174	-0.05036	0.01845	0.02122	-0.02680	(Member $e0 study)
p200959	-0.05212	0.04188	-0.08134	0.03097	0.00719	0.01845	-0.02175	-0.01906	-0.01636	0.01118	0.01739	0.01401	-0.04822	0.04811	-0.00289	0.08544	(Member $e0 try)
